date,year,month_num,month,arrivals
2015-01-01,2015.0,1,JAN,2291603.0
2015-02-01,2015.0,2,FEB,1949016.0
2015-03-01,2015.0,3,MAR,2242077.0
2015-04-01,2015.0,4,APR,2071922.0
2015-05-01,2015.0,5,MAY,2118890.0
2015-06-01,2015.0,6,JUN,1893792.0
2015-07-01,2015.0,7,JUL,2216049.0
2015-08-01,2015.0,8,AUG,2182536.0
2015-09-01,2015.0,9,SEP,2084339.0
2015-10-01,2015.0,10,OCT,2082866.0
2015-11-01,2015.0,11,NOV,2004694.0
2015-12-01,2015.0,12,DEC,2583467.0
2016-01-01,2016.0,1,JAN,2376166.0
2016-02-01,2016.0,2,FEB,2091098.0
2016-03-01,2016.0,3,MAR,2198716.0
2016-04-01,2016.0,4,APR,2101280.0
2016-05-01,2016.0,5,MAY,2144119.0
2016-06-01,2016.0,6,JUN,2121396.0
2016-07-01,2016.0,7,JUL,2296615.0
2016-08-01,2016.0,8,AUG,2282173.0
2016-09-01,2016.0,9,SEP,2118367.0
2016-10-01,2016.0,10,OCT,2326487.0
2016-11-01,2016.0,11,NOV,2054165.0
2016-12-01,2016.0,12,DEC,2646810.0
2017-01-01,2017.0,1,JAN,2350270.0
2017-02-01,2017.0,2,FEB,2043215.0
2017-03-01,2017.0,3,MAR,2238184.0
2017-04-01,2017.0,4,APR,2145734.0
2017-05-01,2017.0,5,MAY,2039016.0
2017-06-01,2017.0,6,JUN,2134647.0
2017-07-01,2017.0,7,JUL,2263478.0
2017-08-01,2017.0,8,AUG,2129013.0
2017-09-01,2017.0,9,SEP,2092378.0
2017-10-01,2017.0,10,OCT,2068995.0
2017-11-01,2017.0,11,NOV,2007965.0
2017-12-01,2017.0,12,DEC,2435564.0
2018-01-01,2018.0,1,JAN,2276750.0
2018-02-01,2018.0,2,FEB,2050613.0
2018-03-01,2018.0,3,MAR,2192855.0
2018-04-01,2018.0,4,APR,1957248.0
2018-05-01,2018.0,5,MAY,1976981.0
2018-06-01,2018.0,6,JUN,2275921.0
2018-07-01,2018.0,7,JUL,2305324.0
2018-08-01,2018.0,8,AUG,2253534.0
2018-09-01,2018.0,9,SEP,2096889.0
2018-10-01,2018.0,10,OCT,2103975.0
2018-11-01,2018.0,11,NOV,1989842.0
2018-12-01,2018.0,12,DEC,2352422.0
2019-01-01,2019.0,1,JAN,2195684.0
2019-02-01,2019.0,2,FEB,2165933.0
2019-03-01,2019.0,3,MAR,2334613.0
2019-04-01,2019.0,4,APR,2159517.0
2019-05-01,2019.0,5,MAY,2098267.0
2019-06-01,2019.0,6,JUN,2400561.0
2019-07-01,2019.0,7,JUL,2415097.0
2019-08-01,2019.0,8,AUG,2342438.0
2019-09-01,2019.0,9,SEP,1997093.0
2019-10-01,2019.0,10,OCT,2031198.0
2019-11-01,2019.0,11,NOV,1969315.0
2019-12-01,2019.0,12,DEC,1991068.0
2020-01-01,2020.0,1,JAN,2164459.0
2020-02-01,2020.0,2,FEB,1397912.0
2020-03-01,2020.0,3,MAR,671084.0
2020-04-01,2020.0,4,APR,7546.0
2020-05-01,2020.0,5,MAY,5411.0
2020-06-01,2020.0,6,JUN,6585.0
2020-07-01,2020.0,7,JUL,18660.0
2020-08-01,2020.0,8,AUG,11631.0
2020-09-01,2020.0,9,SEP,16131.0
2020-10-01,2020.0,10,OCT,11315.0
2020-11-01,2020.0,11,NOV,11420.0
2020-12-01,2020.0,12,DEC,10568.0
2021-01-01,2021.0,1,JAN,8012.0
2021-02-01,2021.0,2,FEB,7599.0
2021-03-01,2021.0,3,MAR,9645.0
2021-04-01,2021.0,4,APR,9742.0
2021-05-01,2021.0,5,MAY,9156.0
2021-06-01,2021.0,6,JUN,6459.0
2021-07-01,2021.0,7,JUL,6203.0
2021-08-01,2021.0,8,AUG,8062.0
2021-09-01,2021.0,9,SEP,8431.0
2021-10-01,2021.0,10,OCT,10684.0
2021-11-01,2021.0,11,NOV,14722.0
2021-12-01,2021.0,12,DEC,36013.0
2022-01-01,2022.0,1,JAN,29797.0
2022-02-01,2022.0,2,FEB,26760.0
2022-03-01,2022.0,3,MAR,41496.0
2022-04-01,2022.0,4,APR,392059.0
2022-05-01,2022.0,5,MAY,670474.0
2022-06-01,2022.0,6,JUN,971574.0
2022-07-01,2022.0,7,JUL,1076218.0
2022-08-01,2022.0,8,AUG,1102625.0
2022-09-01,2022.0,9,SEP,1245278.0
2022-10-01,2022.0,10,OCT,1344091.0
2022-11-01,2022.0,11,NOV,1330700.0
2022-12-01,2022.0,12,DEC,1839892.0
2023-01-01,2023.0,1,JAN,1496308.0
2023-02-01,2023.0,2,FEB,1298261.0
2023-03-01,2023.0,3,MAR,1593033.0
2023-04-01,2023.0,4,APR,0.0
2023-05-01,2023.0,5,MAY,0.0
2023-06-01,2023.0,6,JUN,0.0
2023-07-01,2023.0,7,JUL,0.0
2023-08-01,2023.0,8,AUG,0.0
2023-09-01,2023.0,9,SEP,0.0
2023-10-01,2023.0,10,OCT,0.0
2023-11-01,2023.0,11,NOV,0.0
2023-12-01,2023.0,12,DEC,0.0
