year,state,international_hotel_guests,domestic_hotel_guests,hotel_guests_total,international_share,domestic_share,shapeName
2015,Kuala Lumpur,9341801.0,6552354.0,15894155.0,0.5877507171661532,0.4122492828338467,Kuala Lumpur
2016,Kuala Lumpur,9436404.0,6715078.0,16151482.0,0.5842438483354035,0.4157561516645964,Kuala Lumpur
2017,Kuala Lumpur,10717479.0,7264872.0,17982351.0,0.5959998778802615,0.4040001221197384,Kuala Lumpur
2015,Putrajaya,151740.0,342993.0,494733.0,0.3067108925420378,0.6932891074579621,Putrajaya
2016,Putrajaya,166473.0,337901.0,504374.0,0.3300586469564252,0.6699413530435748,Putrajaya
2017,Putrajaya,177602.0,343147.0,520749.0,0.341051062988119,0.658948937011881,Putrajaya
2015,Selangor,1613299.0,2382290.0,3995589.0,0.4037700073756334,0.5962299926243665,Selangor
2016,Selangor,1624265.0,2440004.0,4064269.0,0.3996450530218349,0.600354946978165,Selangor
2017,Selangor,1688659.0,2793468.0,4482127.0,0.3767539384760851,0.6232460615239148,Selangor
2015,Penang,2879899.0,3467719.0,6347618.0,0.4536975917580421,0.5463024082419579,Penang
2016,Penang,2911783.0,3467402.0,6379185.0,0.4564506280974764,0.5435493719025236,Penang
2017,Penang,2911429.0,3470322.0,6381751.0,0.4562116259315038,0.5437883740684962,Penang
2015,Perak,265794.0,2308445.0,2574239.0,0.1032514851962075,0.8967485148037925,Perak
2016,Perak,267517.0,2325974.0,2593491.0,0.1031493843626216,0.8968506156373783,Perak
2017,Perak,267245.0,2466507.0,2733752.0,0.0977575873744216,0.9022424126255784,Perak
2015,Kedah,1207824.0,2337021.0,3544845.0,0.3407268865070264,0.6592731134929736,Kedah
2016,Kedah,1281471.0,2474404.0,3755875.0,0.341191067327853,0.658808932672147,Kedah
2017,Kedah,1407261.0,2591488.0,3998749.0,0.3519253146421543,0.6480746853578456,Kedah
2015,Perlis,5921.0,171005.0,176926.0,0.0334659688231237,0.9665340311768762,Perlis
2016,Perlis,5946.0,170720.0,176666.0,0.0336567307801161,0.966343269219884,Perlis
2017,Perlis,5943.0,177689.0,183632.0,0.0323636403241265,0.9676363596758736,Perlis
2015,Negeri Sembilan,456013.0,1878207.0,2334220.0,0.1953599060928275,0.8046400939071724,Negeri Sembilan
2016,Negeri Sembilan,459966.0,1902098.0,2362064.0,0.1947305407474141,0.8052694592525859,Negeri Sembilan
2017,Negeri Sembilan,461788.0,1951414.0,2413202.0,0.1913590325219356,0.8086409674780645,Negeri Sembilan
2015,Melaka,1809489.0,2778146.0,4587635.0,0.3944274119453705,0.6055725880546294,Malacca
2016,Melaka,1804544.0,2840620.0,4645164.0,0.3884779956100581,0.6115220043899419,Malacca
2017,Melaka,1704386.0,3086394.0,4790780.0,0.3557637795933021,0.6442362204066978,Malacca
2015,Johor,2565092.0,4388235.0,6953327.0,0.368901390658026,0.631098609341974,Johor
2016,Johor,2581983.0,4431801.0,7013784.0,0.3681298140917941,0.6318701859082059,Johor
2017,Johor,2624972.0,4780989.0,7405961.0,0.354440429810527,0.6455595701894731,Johor
